ID,Airport,City,Country
9878,Opa-locka Station,Opa-locka,United States
9879,Golden Glades Station,Golden Glades,United States
9880,Hollywood Station,Hollywood,United States
9881,Sheridan Street Station,Hollywood,United States
9882,Fort Lauderdale Station,Fort Lauderdale,United States
9883,Cypress Creek Station,Fort Lauderdale,United States
9884,Pompano Beach Station,Pompano Beach,United States
9885,Nikolayevka,Nikolayevka,Russia
9886,Seunagan Airport,Nagan Raya,Indonesia
9887,Betoambari Airport,Bau-Bau,Indonesia
9888,Kao Airport,Kao,Indonesia
9889,Melangguane Airport,Melonguane,Indonesia
9890,Sanggata/Sangkimah Airport,Sanggata,Indonesia
9891,Muara Bungo Airport,Muara Bungo,Indonesia
9892,Selayar/Aroepala Airport,Selayar,Indonesia
9893,Kuala Kurun Airport,Kuala Kurun,Indonesia
9894,Puruk Cahu Airport,Puruk Cahu,Indonesia
9895,Melalan Airport,Melak,Indonesia
9896,Dekai Airport,Dekai,Indonesia
9897,Illaga Airport,Illaga,Indonesia
9898,Oksibil Airport,Oksibil,Indonesia
9899,Kokonau Airport,Kokonau,Indonesia
9900,Kenyam Airport,Keneyan,Indonesia
9901,Clermont Airport,Clermont,Australia
9902,Warrnambool Airport,Warrnambool,Australia
9903,Bloomfield Airport,Bloomfield,Australia
9904,Richmond Airport,Richmond,Australia
9905,RAAF Base Curtin,Derby,Australia
9906,Fleetwood,Fleetwood,United Kingdom
9907,Arnoldstein,Arnoldstein,Austria
9908,Lucerne,Lucerne,Switzerland
9909,Wolfach,Wolfach,Germany
9910,Kalispell,Kalispell,United States
9911,Banff,Banff,Canada
9912,Jasper,Jasper,Canada
9913,Terrace Bay,Terrace Bay,Canada
9914,Ayr,Ayr,Canada
9915,Edmundston,Edmundston,Canada
9916,St. Andrews,St. Andrews,Canada
9917,Pinery,Pinery,Canada
9918,Gananoque,Gananoque,Canada
9919,Riviere-du-Loup,Riviere-du-Loup,Canada
9920,Campbells Cove Provincial Park,Campbells Cove Provincial Park,Canada
9921,Twin Shores Camping Area,Twin Shores Camping Area,Canada
9922,Oka,Oka,Canada
9923,Hudson,Hudson,Canada
9924,Inverhuron,Inverhuron,Canada
9925,Kill Bear,Kill Bear,Canada
9926,Long Sault,Long Sault,Canada
9927,L Etete,L Etete,Canada
9928,Deer Is,Deer Is,Canada
9929,Deer Is Point,Dear Is Point,Canada
9930,Blacks Harbour,Blacks Harbour,Canada
9931,North Head,North Head,Canada
9932,Ingalls Head,Ingalls Head,Canada
9933,White Head Is,White Head Is,Canada
9934,Cornwall Wallmart,Cornwall Wallmart,Canada
9935,Kualanamu International Airport,Medan,Indonesia
9936,Jasper Railway Station,Jasper,Canada
9937,Gratiot Community Airport,Kamloops,Canada
9938,Asheboro Regional Airport,Asheboro,United States
9939,Seosan Air Base,Seosan,South Korea
9940,Andorra La Vella,Andorra La Vella,Spain
9941,Ngala Airport,Ngala,South Africa
9942,Henderson Field,Wallace,United States
9943,Emporia Greensville Regional Airport,Emporia,United States
9944,Sainte-Foy Railway Station,Sainte-Foy,Canada
9945,Drummondville Railway Station,Drummondville,Canada
9946,Saint Lambert Railway Station,Saint Lambert,Canada
9947,Rochester Station,Rochester,United States
9948,Rome Amtrak Station,Rome,United States
9949,Amsterdam Amtrak Station,Amsterdam,United States
9950,Schenectady Amtrak Station,Schenectady,United States
9951,Hudson Amtrak Station,Hudson,United States
9952,Rhinecliff-Kingston Amtrak Station,Rhinebeck,United States
9953,Croton-Harmon Station,Croton-on-Hudson,United States
9954,Naperville Station,Naperville,United States
9955,Mendota Union Depot,Mendota,United States
9956,Princeton Station,Princeton,United States
9957,Galesburg Station,Galesburg,United States
9958,Fort Madison Station,Fort Madison,United States
9959,La Plata Station,La Plata,United States
9960,Lawrence Station,Lawrence,United States
9961,Topeka Station,Topeka,United States
9962,Newton Station,Newton,United States
9963,Hutchinson Station,Hutchinson,United States
9964,Dodge City Station,Dodge City,United States
9965,Garden City Station,Garden City,United States
9966,Lamar Station,Lamar,United States
9967,La Junta Station,La Junta,United States
9968,Trinidad Station,Trinidad,United States
9969,22nd St. Station,San Francisco,United States
9970,Bayshore Station,San Francisco,United States
9971,South San Francisco Station,South San Francisco,United States
9972,San Bruno Station,San Bruno,United States
9973,Broadway Station,Burlingame,United States
9974,Burlingame Station,Burlingame,United States
9975,Hayward Park Station,San Mateo,United States
9976,Hillsdale Station,San Mateo,United States
9977,Belmont Station,Belmont,United States
9978,San Carlos Station,San Carlos,United States
9979,Redwood City Station,Redwood City,United States
9980,Atherton Station,Atherton,United States
9981,Menlo Park Station,Menlo Park,United States
9982,Palo Alto Station,Palo Alto,United States
